,None,ticker,date,open,high,low,close,volume
236,13,MSTR,2024-03-12,1544.0,1594.97,1438.0,1593.35,3492896.0
237,12,MSTR,2024-03-13,1660.0,1774.0,1620.0,1766.15,3629266.0
238,11,MSTR,2024-03-14,1708.01,1746.0,1550.77,1676.85,4933767.0
239,10,MSTR,2024-03-15,1600.01,1815.0,1570.0,1782.36,4377283.0
240,9,MSTR,2024-03-18,1718.45,1734.9,1445.01,1502.76,4474932.0
241,8,MSTR,2024-03-19,1326.07,1450.0,1230.12,1417.5,4397999.0
242,7,MSTR,2024-03-20,1423.01,1550.0,1363.01,1546.52,3191278.0
243,6,MSTR,2024-03-21,1594.12,1704.36,1581.02,1599.29,3120111.0
244,5,MSTR,2024-03-22,1520.0,1594.49,1490.0,1523.0,2036955.0
245,4,MSTR,2024-03-25,1605.0,1873.65,1594.42,1856.0,3800469.0
246,3,MSTR,2024-03-26,1882.43,1909.5,1792.0,1876.99,2358727.0
247,2,MSTR,2024-03-27,1953.0,1999.99,1842.0,1919.16,2591892.0
248,1,MSTR,2024-03-28,1943.0,1989.0,1645.52,1704.56,4454403.0
249,0,MSTR,2024-04-01,1645.01,1690.19,1586.56,1636.74,1983928.0
